id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
01021826,01,Alabama,AL,Autauga County,Cullman,Autaugaville,Track,Track,35055,256,47570866,2530408,34.2012855,-86.8254882,37893,28850,37859,205.955438058865
01021836,01,Alabama,AL,Autauga County,Cullman,Autaugaville,Track,Track,35055,256,54256128,667061,34.117682,-86.7963608,44858,32959,41497,431.782710666663
01021846,01,Alabama,AL,Autauga County,Garden City,Autaugaville,Track,Track,35070,256,125741724,1106561,33.9980493,-86.7870516,43726,28444,38686,267.624103291739
01021856,01,Alabama,AL,Autauga County,Ft Rucker,Autaugaville,Track,Track,36362,334,172610491,2735224,31.4097368,-85.7458071,68310,59974,38238,375.974145872863
0102186,01,Alabama,AL,Autauga County,Evergreen,Autaugaville,Track,Track,36401,251,90973774,334237,31.4626914,-86.9984985,34206,16878,39063,540.009840509178
01021866,01,Alabama,AL,Autauga County,Ozark,Autaugaville,Track,Track,36360,334,61929515,413858,31.4833011,-85.6497139,65625,49674,60856,187.254702599691
01021876,01,Alabama,AL,Autauga County,Ozark,Autaugaville,Track,Track,36360,334,36136505,194310,31.4149425,-85.6413488,31645,31497,20477,197.090427160299
01021886,01,Alabama,AL,Autauga County,Daleville,Autaugaville,Track,Track,36322,334,23042778,0,31.3021556,-85.7056542,58239,61815,49004,174.783871680196
01021896,01,Alabama,AL,Autauga County,Midland City,Autaugaville,Track,Track,36350,334,110987657,53907,31.3374977,-85.4657416,42703,33772,31328,286.325626457054
01021906,01,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36703,334,182250003,1051254,32.5526588,-87.0352646,65458,45588,47564,195.792547321148
01021916,01,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36701,334,2711300,43964,32.4157042,-87.0280529,23614,15982,20480,265.821074356268
01021926,01,Alabama,AL,Autauga County,Orrville,Autaugaville,Track,Track,36767,334,541139544,6763758,32.3256691,-87.2191795,30567,20489,27688,321.689290691302
01021936,01,Alabama,AL,Autauga County,Selma,Autaugaville,Track,Track,36701,334,173119838,4647634,32.3277469,-86.8942838,26582,19843,18440,208.29689968728
01021946,01,Alabama,AL,Autauga County,Rainsville,Autaugaville,Track,Track,36986,256,108426406,467193,34.5326223,-85.8630796,47226,37458,34391,509.653155675645
01021956,01,Alabama,AL,Autauga County,Fyffe,Autaugaville,Track,Track,35971,256,214238075,23139,34.4340842,-85.9687233,41338,40569,19063,330.992239601562
0102196,01,Alabama,AL,Autauga County,Andalusia,Autaugaville,Track,Track,36421,334,15438185,163537,31.326445,-86.507274,42170,26135,46568,569.205878105233
01021966,01,Alabama,AL,Autauga County,Crossville,Autaugaville,Track,Track,35962,256,151362799,244096,34.2571822,-86.025488,50821,54135,34788,224.317357145446
01021976,01,Alabama,AL,Autauga County,Ft Payne,Autaugaville,Track,Track,35967,256,116782043,31876,34.3660315,-85.6964687,46422,40662,30381,396.418269037896
01021986,01,Alabama,AL,Autauga County,Fort Payne,Autaugaville,Track,Track,35967,256,91371430,86324,34.4574952,-85.635214,57662,300000,30695,218.525416389677
01021996,01,Alabama,AL,Autauga County,Deatsville,Autaugaville,Track,Track,36022,334,280794165,9491833,32.6948549,-86.2223176,55257,50235,34870,276.053770927848
